Date,Close,High,Low,Open,Volume
2024-07-23,32.70000076293945,33.099998474121094,31.899999618530273,33.0,2013020
2024-07-24,31.700000762939453,32.70000076293945,31.600000381469727,32.70000076293945,3109620
2024-07-25,29.399999618530273,30.0,29.200000762939453,29.799999237060547,3204160
2024-07-26,30.799999237060547,31.0,30.299999237060547,30.399999618530273,3666450
2024-07-29,31.200000762939453,31.899999618530273,30.700000762939453,31.899999618530273,3367340
2024-07-30,30.799999237060547,31.65999984741211,30.700000762939453,31.600000381469727,1554630
2024-07-31,30.799999237060547,31.600000381469727,30.530000686645508,31.399999618530273,2385780
2024-08-01,29.399999618530273,30.100000381469727,29.0,30.0,1783960
2024-08-02,28.299999237060547,30.0,28.100000381469727,29.600000381469727,2208020
2024-08-05,22.700000762939453,23.799999237060547,20.600000381469727,20.899999618530273,4108410
2024-08-06,23.5,24.100000381469727,22.799999237060547,23.200000762939453,1963500
2024-08-07,22.100000381469727,23.5,21.950000762939453,23.299999237060547,2336400
2024-08-08,24.299999237060547,24.600000381469727,22.75,23.299999237060547,1916760
2024-08-09,24.450000762939453,25.100000381469727,24.040000915527344,24.899999618530273,1555620
2024-08-12,25.100000381469727,25.700000762939453,24.440000534057617,25.299999237060547,1651100
2024-08-13,25.5,25.770000457763672,24.799999237060547,24.899999618530273,1161770
2024-08-14,25.100000381469727,25.799999237060547,24.799999237060547,25.700000762939453,1394390
2024-08-15,24.100000381469727,25.200000762939453,23.799999237060547,25.100000381469727,1508750
2024-08-16,24.799999237060547,24.799999237060547,24.049999237060547,24.5,1043350
2024-08-19,24.600000381469727,24.799999237060547,24.1299991607666,24.5,729270
2024-08-20,24.600000381469727,25.0,24.100000381469727,24.799999237060547,829290
2024-08-21,25.0,25.0,23.899999618530273,24.399999618530273,1034470
2024-08-22,24.5,24.799999237060547,24.399999618530273,24.799999237060547,763330
2024-08-23,25.899999618530273,26.0,24.799999237060547,25.100000381469727,1371680
2024-08-26,25.299999237060547,25.899999618530273,25.200000762939453,25.899999618530273,833180
2024-08-27,24.399999618530273,24.799999237060547,24.100000381469727,24.799999237060547,865950
2024-08-28,23.600000381469727,24.0,23.139999389648438,23.799999237060547,1359220
2024-08-29,23.799999237060547,24.5,23.649999618530273,24.299999237060547,733570
2024-08-30,23.600000381469727,24.0,22.899999618530273,23.700000762939453,1127820
2024-09-03,23.0,23.649999618530273,22.899999618530273,23.600000381469727,983650
2024-09-04,23.200000762939453,23.5,22.5,22.5,1269650
2024-09-05,22.200000762939453,22.799999237060547,22.100000381469727,22.5,1108490
2024-09-06,20.899999618530273,22.600000381469727,20.799999237060547,22.5,1415400
2024-09-09,22.200000762939453,22.200000762939453,21.399999618530273,21.799999237060547,970110
2024-09-10,22.399999618530273,22.600000381469727,21.899999618530273,22.100000381469727,799930
2024-09-11,22.0,22.299999237060547,21.399999618530273,22.0,1012580
2024-09-12,22.299999237060547,22.299999237060547,21.799999237060547,22.100000381469727,901910
2024-09-13,22.799999237060547,22.899999618530273,22.100000381469727,22.200000762939453,1095140
2024-09-16,21.399999618530273,21.799999237060547,21.350000381469727,21.799999237060547,1238560
2024-09-17,22.200000762939453,22.600000381469727,21.700000762939453,21.899999618530273,1025130
2024-09-18,21.799999237060547,22.25,21.5,21.799999237060547,1206270
2024-09-19,23.299999237060547,23.5,22.799999237060547,23.0,1378920
2024-09-20,24.0,24.299999237060547,23.700000762939453,23.899999618530273,1198580
2024-09-23,25.200000762939453,25.5,24.799999237060547,25.0,1397250
2024-09-24,25.0,25.100000381469727,24.399999618530273,24.899999618530273,1241060
2024-09-25,24.200000762939453,24.799999237060547,24.200000762939453,24.600000381469727,1036850
2024-09-26,25.0,25.200000762939453,24.600000381469727,24.700000762939453,1366300
2024-09-27,25.5,25.799999237060547,24.899999618530273,25.100000381469727,1299750
2024-09-30,24.399999618530273,24.899999618530273,24.200000762939453,24.899999618530273,1159130
2024-10-01,23.5,24.65999984741211,22.899999618530273,24.600000381469727,1895580
2024-10-02,22.399999618530273,23.399999618530273,22.299999237060547,22.899999618530273,1736250
2024-10-03,22.200000762939453,22.299999237060547,21.799999237060547,22.100000381469727,1331260
2024-10-04,22.899999618530273,23.0,22.100000381469727,22.399999618530273,959380
2024-10-07,23.100000381469727,23.799999237060547,22.799999237060547,23.299999237060547,1305430
2024-10-08,23.0,23.200000762939453,22.600000381469727,22.899999618530273,1166360
2024-10-09,22.700000762939453,23.299999237060547,22.700000762939453,22.899999618530273,1508560
2024-10-10,22.299999237060547,22.799999237060547,21.899999618530273,22.600000381469727,1419670
2024-10-11,23.200000762939453,23.299999237060547,22.799999237060547,22.799999237060547,893650
2024-10-14,24.700000762939453,24.989999771118164,24.0,24.0,1513430
2024-10-15,24.5,25.350000381469727,23.899999618530273,24.600000381469727,1729800
2024-10-16,24.700000762939453,24.950000762939453,24.399999618530273,24.700000762939453,1124610
2024-10-17,24.399999618530273,24.799999237060547,24.239999771118164,24.5,1504950
2024-10-18,25.0,25.299999237060547,24.600000381469727,24.700000762939453,1351130
2024-10-21,25.200000762939453,25.399999618530273,25.0,25.399999618530273,1017380
2024-10-22,24.799999237060547,24.899999618530273,24.5,24.799999237060547,989490
2024-10-23,23.600000381469727,24.399999618530273,23.100000381469727,24.200000762939453,976180
2024-10-24,24.0,24.0,23.600000381469727,23.899999618530273,1093080
2024-10-25,23.200000762939453,24.200000762939453,23.100000381469727,24.0,1566870
2024-10-28,23.600000381469727,23.899999618530273,23.399999618530273,23.899999618530273,2110200
2024-10-29,24.700000762939453,25.299999237060547,24.600000381469727,24.700000762939453,2347460
2024-10-30,25.0,25.700000762939453,25.0,25.399999618530273,2671020
2024-10-31,23.600000381469727,24.799999237060547,23.600000381469727,24.799999237060547,3613480
2024-11-01,23.700000762939453,24.399999618530273,23.399999618530273,23.799999237060547,2507150
2024-11-04,22.799999237060547,23.200000762939453,22.600000381469727,23.200000762939453,1679530
2024-11-05,22.799999237060547,23.399999618530273,22.600000381469727,23.100000381469727,1433150
2024-11-06,25.5,25.5,24.600000381469727,24.799999237060547,2207030
2024-11-07,27.399999618530273,27.5,26.200000762939453,26.5,3436590
2024-11-08,27.700000762939453,28.200000762939453,27.299999237060547,27.899999618530273,2855850
2024-11-11,31.700000762939453,31.899999618530273,29.700000762939453,29.899999618530273,6696970
2024-11-12,31.100000381469727,31.200000762939453,30.299999237060547,30.700000762939453,4575800
2024-11-13,29.899999618530273,31.5,29.5,30.600000381469727,6086110
2024-11-14,29.200000762939453,30.200000762939453,28.799999237060547,30.100000381469727,3167280
2024-11-15,29.100000381469727,29.200000762939453,28.399999618530273,28.899999618530273,4562130
2024-11-18,29.799999237060547,30.200000762939453,28.899999618530273,29.299999237060547,3437080
2024-11-19,29.200000762939453,29.700000762939453,29.100000381469727,29.299999237060547,2083480
2024-11-20,28.93000030517578,29.600000381469727,28.59000015258789,29.510000228881836,1730800
2024-11-21,31.639999389648438,31.99799919128418,30.610000610351562,31.65999984741211,7464300
2024-11-22,31.049999237060547,31.420000076293945,30.804000854492188,31.059999465942383,2020500
2024-11-25,33.06999969482422,33.459999084472656,31.559999465942383,32.959999084472656,1973800
2024-11-26,31.290000915527344,31.71500015258789,30.700000762939453,31.309999465942383,1128400
2024-11-27,34.279998779296875,34.34000015258789,32.849998474121094,32.90999984741211,2030300
2024-11-29,33.84000015258789,34.459999084472656,33.779998779296875,34.0,805100
2024-12-02,34.119998931884766,34.77000045776367,33.525001525878906,34.27000045776367,1441300
2024-12-03,34.060001373291016,34.06999969482422,33.0099983215332,33.5,1308500
2024-12-04,36.70000076293945,36.779998779296875,35.02000045776367,35.08000183105469,2103500
2024-12-05,36.099998474121094,37.40999984741211,35.689998626708984,37.02000045776367,2364900
2024-12-06,38.2599983215332,38.66999816894531,36.849998474121094,37.0099983215332,2170600
2024-12-09,35.29999923706055,37.233001708984375,35.11000061035156,36.63999938964844,2675600
2024-12-10,34.43000030517578,35.220001220703125,33.18000030517578,35.099998474121094,2466700
2024-12-11,36.189998626708984,36.26900100708008,35.099998474121094,35.15999984741211,1330400
2024-12-12,36.66999816894531,37.63999938964844,36.36000061035156,37.5,1117600
2024-12-13,36.97999954223633,37.459999084472656,36.59000015258789,37.06999969482422,1030200
2024-12-16,38.16999816894531,38.775001525878906,36.869998931884766,36.88999938964844,4356100
2024-12-17,37.09000015258789,37.97999954223633,36.91999816894531,37.849998474121094,4141400
2024-12-18,34.790000915527344,36.84000015258789,34.22999954223633,36.45000076293945,5783300
2024-12-19,31.829999923706055,34.900001525878906,31.360000610351562,34.7400016784668,10859600
2024-12-20,32.41999816894531,32.95000076293945,31.1299991607666,31.329999923706055,4444800
2024-12-23,32.04999923706055,32.150001525878906,30.770000457763672,31.579999923706055,2773800
2024-12-24,33.040000915527344,33.16999816894531,32.369998931884766,32.47999954223633,1799800
2024-12-26,31.3700008392334,31.709999084472656,31.165000915527344,31.68000030517578,3023600
2024-12-27,31.420000076293945,31.93000030517578,31.110000610351562,31.93000030517578,2009100
2024-12-30,32.0099983215332,32.20000076293945,31.059999465942383,31.510000228881836,2167000
